"m.z"	"variable"	"d0_value"	"d6_value"	"d12_value"	"ES"	"replication"	"d0_log10value"	"d6_log10value"	"d12_log10value"
115.075	"ES0_3"	11.591	8.331	9.687	"ES0"	"3"	1.10006022393115	0.969928189428116	1.02885580939044
115.112	"ES0_3"	11.526	8.331	9.622	"ES0"	"3"	1.09781240736529	0.969928189428116	1.02620629708312
115.123	"ES0_3"	11.494	8.331	9.59	"ES0"	"3"	1.09670150161	0.969928189428116	1.02489596010748
116.143	"ES0_3"	3.648	2.163	1.453	"ES0"	"3"	0.667266119382274	0.500099191915723	0.389697548206386
117.07	"ES0_3"	40.32	31.283	18.107	"ES0"	"3"	1.61616031284758	1.50897388611529	1.28119250360532
117.078	"ES0_3"	40.32	31.25	18.172	"ES0"	"3"	1.61616031284758	1.50852971897129	1.28266742031975
117.091	"ES0_3"	40.32	31.25	18.011	"ES0"	"3"	1.61616031284758	1.50852971897129	1.2790049618449
117.102	"ES0_3"	40.191	31.218	17.914	"ES0"	"3"	1.61480233551578	1.50809857717808	1.27678338470027
117.127	"ES0_3"	39.997	30.96	17.688	"ES0"	"3"	1.61275207791206	1.50460677064195	1.27156282543231
118.065	"ES0_3"	4.035	2.615	2.002	"ES0"	"3"	0.701999474889637	0.55810830163055	0.477410687907252
118.078	"ES0_3"	4.035	2.647	2.002	"ES0"	"3"	0.701999474889637	0.561935763313781	0.477410687907252
118.081	"ES0_3"	4.035	2.647	2.002	"ES0"	"3"	0.701999474889637	0.561935763313781	0.477410687907252
118.086	"ES0_3"	4.035	2.647	2.002	"ES0"	"3"	0.701999474889637	0.561935763313781	0.477410687907252
119.06	"ES0_3"	10.882	10.557	11.397	"ES0"	"3"	1.07488954804067	1.06284511327705	1.09331660120433
119.086	"ES0_3"	10.882	10.59	11.203	"ES0"	"3"	1.07488954804067	1.0640834359636	1.08646661127158
120.081	"ES0_3"	1.84	1.356	1.065	"ES0"	"3"	0.453318340047038	0.372175286115064	0.31492005599242
121.052	"ES0_3"	37.641	18.305	13.72	"ES0"	"3"	1.58704835710324	1.28566980596007	1.16790781000148
121.065	"ES0_3"	37.609	18.338	13.72	"ES0"	"3"	1.58668855324005	1.28641155589598	1.16790781000148
121.089	"ES0_3"	37.641	18.305	13.753	"ES0"	"3"	1.58704835710324	1.28566980596007	1.16888034241364
121.101	"ES0_3"	37.674	18.273	13.688	"ES0"	"3"	1.5874190928925	1.28494932140367	1.16696266385717
122.06	"ES0_3"	4.068	2.357	2.745	"ES0"	"3"	0.704836606211404	0.525951341248012	0.573451822035485
122.084	"ES0_3"	4.068	2.389	2.712	"ES0"	"3"	0.704836606211404	0.530071568837378	0.569607967546825
122.096	"ES0_3"	4.068	2.422	2.745	"ES0"	"3"	0.704836606211404	0.534280005205081	0.573451822035485
123.092	"ES0_3"	16.077	8.751	10.686	"ES0"	"3"	1.23241157842085	0.98904915643822	1.06766588197425
124.039	"ES0_3"	2.033	1.614	1.743	"ES0"	"3"	0.481872410310663	0.417305583244525	0.43822580760453
124.057	"ES0_3"	1.969	1.614	1.808	"ES0"	"3"	0.472610197596045	0.417305583244525	0.448397103457768
125.042	"ES0_3"	12.786	7.135	8.911	"ES0"	"3"	1.13943827415817	0.910357557272878	0.996117476137288
125.06	"ES0_3"	12.754	7.135	8.911	"ES0"	"3"	1.138429020006	0.910357557272878	0.996117476137288
125.071	"ES0_3"	12.786	7.167	8.911	"ES0"	"3"	1.13943827415817	0.912062555588502	0.996117476137288
125.084	"ES0_3"	12.786	7.167	8.911	"ES0"	"3"	1.13943827415817	0.912062555588502	0.996117476137288
125.096	"ES0_3"	12.786	7.199	8.911	"ES0"	"3"	1.13943827415817	0.913760886412323	0.996117476137288
125.107	"ES0_3"	12.818	7.232	8.911	"ES0"	"3"	1.14044518834787	0.915505361754376	0.996117476137288
125.12	"ES0_3"	12.818	7.232	8.878	"ES0"	"3"	1.14044518834787	0.915505361754376	0.994669021825529
127.112	"ES0_3"	18.565	13.882	16.368	"ES0"	"3"	1.2914798522367	1.17266130020153	1.23974981044636
127.136	"ES0_3"	18.436	13.882	16.335	"ES0"	"3"	1.28860689039097	1.17266130020153	1.23892384599242
127.903	"ES0_3"	3.325	2.357	2.324	"ES0"	"3"	0.635986111800833	0.525951341248012	0.521661015112073
