"m.z","ES0_1","ES0_2","ES0_3","ES0.5_1","ES0.5_2","ES0.5_3","ES2.5_1","ES2.5_2","ES2.5_3","ES5_1","ES5_2","ES5_3","ES8_1","ES8_2","ES8_3","ES0","ES0.5","ES2.5","ES5","ES8"
"m178.062 ((C10H10O3)+) ",0.904,0.839,2.034,1.711,2.066,1.227,1.001,0.549,1.679,0.549,1.388,1.291,0.872,1.226,1.065,0.387,0.678,0.904,0.6,0.678
"m178.123 ((C11H15NO)H+) ",0.904,0.839,2.001,1.679,2.066,1.259,1.033,0.581,1.711,0.678,1.485,1.291,0.839,1.259,1.13,0.355,0.678,0.904,0.6,0.71
"m179.086 ((C14H10)H+) ",1,1.227,1.743,1.194,1.743,1.388,1.065,1.517,1.452,1.291,1.614,1.84,1.485,1.42,1.55,1.097,1.259,0.613,1.04,1.356
"m179.107 ((C11H14O2)H+) ",1,1.259,1.743,1.162,1.776,1.42,1.097,1.517,1.452,1.291,1.582,1.84,1.485,1.42,1.517,1.065,1.194,0.645,1.04,1.356
"m179.128 ((C8H18O4)H+) ",0.968,1.227,1.776,1.098,1.743,1.42,1.097,1.517,1.452,1.259,1.582,1.776,1.453,1.42,1.485,1.065,1.227,0.581,1.04,1.356
"m179.929 (C6Cl3H3+) ",0.516,0.484,0.549,0.484,0.452,0.678,0.581,0.968,0.581,0.645,0.581,0.452,0.71,0.549,0.516,0.452,0.452,0.516,0.4,0.484
"m180.081 ((C13H9N)H+) ",0.549,0.355,0.452,0.452,0.516,0.678,0.548,0.968,0.549,0.613,0.581,0.387,0.613,0.549,0.613,0.452,0.484,0.548,0.56,0.484
"m180.093 ((C14H12)+) ",0.549,0.355,0.452,0.419,0.516,0.678,0.548,0.968,0.516,0.645,0.581,0.387,0.613,0.549,0.613,0.452,0.484,0.516,0.52,0.484
"m180.151 ((C12H20O)+) ",0.581,0.355,0.516,0.484,0.484,0.678,0.548,0.968,0.516,0.645,0.516,0.387,0.613,0.581,0.613,0.452,0.452,0.548,0.52,0.516
"m180.937 (C6Cl3H4+) ",4.069,13.72,60.817,39.125,45.031,17.4,11.622,5.619,38.094,5.231,26.567,39.932,7.233,15.722,22.695,1.84,2.357,2.906,2.202,2.26
"m181.076 ((C12H8N2)H+) ",4.037,13.752,60.785,39.125,45.064,17.432,11.655,5.683,38.191,5.263,26.664,39.965,7.136,15.689,22.76,1.84,2.421,3.067,2.122,2.26
"m181.101 ((C14H12)H+) ",4.037,13.752,60.721,39.125,45.064,17.464,11.558,5.683,38.191,5.231,26.664,39.932,7.136,15.689,22.76,1.84,2.389,3.067,2.122,2.228
"m181.159 ((C12H20O)H+) ",4.004,13.785,60.688,39.093,45.096,17.464,11.526,5.683,38.191,5.263,26.664,39.803,7.136,15.689,22.695,1.808,2.454,3.003,2.162,2.26
"m181.170 ((C11H20N2)H+) ",4.004,13.785,60.688,39.093,45.096,17.432,11.526,5.683,38.191,5.231,26.664,39.803,7.104,15.689,22.663,1.808,2.454,3.003,2.162,2.26
"m182.109 ((C14H14)+) ",0.936,1.194,3.552,2.357,2.615,1.291,1.001,0.581,2.454,0.807,2.227,1.969,1.065,1.259,1.678,0.839,0.742,0.742,0.48,0.936
"m183.047 ((C9H10O2S)H+) ",3.422,4.004,4.876,3.939,4.165,5.167,5.424,5.425,4.875,4.973,4.843,4.295,5.327,5.554,5.393,3.487,4.552,4.424,5.965,4.682
"m183.080 ((C13H10O)H+) ",3.422,4.004,4.844,3.939,4.165,5.134,5.425,5.425,4.811,4.973,4.843,4.295,5.327,5.554,5.296,3.487,4.552,4.424,5.965,4.649
"m186.140 ((C14H18)+) ",0.323,0.613,0.29,0.71,0.581,0.71,0.904,0.71,0.839,0.645,0.871,0.871,0.807,0.742,0.871,0.29,0.484,0.839,0.6,0.678
"m187.148 ((C14H18)H+) ",1.582,1.679,1.097,1.162,1.84,1.097,1.356,1.582,1.549,1.453,1.646,1.324,1.905,1.42,1.646,1.162,1.388,1.485,1.361,1.485
"m188.937 (C6Cl3H4 iso57ppm+) ",0.742,0.581,1.097,0.839,1.098,0.968,0.774,0.839,1.226,0.613,1.485,1.162,1.033,1.356,1.388,0.645,0.516,0.775,1.04,1.065
"m189.164 ((C14H20)H+) ",0.645,0.549,0.904,0.71,1.065,0.71,0.613,0.968,1.194,0.613,1.388,0.839,1.098,1.227,1.162,0.678,0.548,0.678,0.72,0.968
"m191.143 ((C13H18O)H+) ",1.033,1.84,3.035,2.518,3.036,3.553,3.197,2.874,4.102,2.131,3.52,4.134,2.196,3.003,4.748,0.613,1.259,2.486,1.642,1.905
"m192.093 ((C15H12)+) ",0.871,1.711,2.196,1.969,2.713,2.712,2.648,2.195,2.68,2.195,2.519,2.713,2.228,2.228,2.68,0.742,1.388,2.099,1.241,1.84
"m193.101 ((C15H12)H+) ",2.066,3.649,5.426,5.038,7.332,7.848,5.717,5.329,6.492,3.617,6.007,5.491,4.069,4.554,5.523,0.807,2.422,4.78,2.803,3.391
"m193.122 ((C12H16O2)H+) ",2.034,3.617,5.49,5.071,7.203,7.752,5.684,5.135,6.33,3.552,5.878,5.491,3.972,4.457,5.426,0.775,2.39,4.618,2.723,3.23
"m194.154 ((C12H19NO)H+) ",0.807,1.356,2.389,1.744,2.939,3.165,2.228,2.325,2.26,1.421,2.616,2.551,1.485,1.776,2.099,0.549,1.065,1.969,1.041,1.744
"m195.065 ((C10H10O4)H+) ",1.259,1.969,2.422,2.583,2.648,2.486,2.26,2.002,2.131,1.873,2.389,2.454,1.324,1.808,2.486,1.194,1.55,1.291,2.242,1.55
"m195.138 ((C12H18O2)H+) ",1.194,1.937,2.228,2.486,2.648,2.519,2.163,1.873,2.163,1.744,2.357,2.357,1.324,1.775,2.422,1.226,1.582,1.323,2.282,1.55
"m197.132 ((C15H16)H+) ",1.13,1.614,1.84,1.453,2.583,1.743,1.55,1.291,2.099,1.097,1.485,1.873,1.485,1.485,1.582,0.71,1.259,1.388,1.361,1.097
"m199.148 ((C15H18)H+) ",2.55,3.035,2.292,2.647,3.325,3.067,2.454,2.518,3.778,2.325,4.004,3.003,3.52,2.744,3.39,2.098,2.906,2.776,2.563,2.454
"m201.139 ((C13H16N2)H+) ",15.076,16.012,13.397,14.85,13.332,15.56,14.494,9.654,13.527,13.98,13.881,13.721,12.106,12.688,12.752,14.657,13.816,14.526,12.849,12.719
"m201.233 ((C12H28N2)H+) ",15.011,16.012,13.462,14.786,13.332,15.56,14.462,9.621,13.527,13.915,13.817,13.785,12.009,12.688,12.784,14.593,13.816,14.429,12.689,12.783
"m203.086 ((C16H10)H+) ",0.968,0.968,0.871,0.871,1.033,1.065,1.42,0.839,0.871,0.807,1.162,1.162,1.323,1.291,1.097,0.71,0.839,1.065,1.441,1.356
"m203.154 ((C13H18N2)H+) ",1,1.001,0.904,0.871,1.065,1.065,1.453,0.904,0.807,0.807,1.097,1.162,1.259,1.323,1.162,0.742,0.839,1,1.481,1.42
"m204.187 ((C15H24)+) ",0.387,0.29,0.42,0.516,0.71,0.774,0.678,0.452,0.581,0.678,0.71,0.613,0.581,1.194,0.516,0.484,0.484,0.29,0.64,0.419
"m205.157 ((C12H19N3)+) ",1.55,1.129,1.033,2.002,1.162,1.194,1.388,0.936,1.55,1.162,1.84,1.42,1.646,1.227,1.259,1.259,1.259,1.13,1.241,1.226
"m205.195 ((C15H24)H+) ",1.55,1.129,1.097,1.969,1.162,1.13,1.388,0.936,1.55,1.13,1.84,1.485,1.614,1.194,1.291,1.194,1.291,1.162,1.201,1.194
"m211.148 ((C16H18)H+) ",5.296,10.721,15.337,10.365,16.403,20.567,12.787,13.658,14.434,8.913,16.984,14.821,7.815,10.72,14.336,0.807,3.713,7.945,4.084,3.746
"m228.093 ((C18H12)+) ",4.036,8.395,13.27,7.039,15.045,17.629,12.237,13.269,14.561,7.62,14.238,14.335,6.715,10.784,15.528,0.613,2.809,6.329,3.203,2.647
"m228.269 ((C15H33N)H+) ",3.907,8.492,13.367,7.071,14.916,17.532,12.205,13.366,14.593,7.588,14.109,14.497,6.748,10.849,15.625,0.613,2.841,6.329,3.163,2.583
"m237.164 ((C18H20)H+) ",0.742,0.936,1.033,1.162,1,1.033,0.904,0.775,1.291,0.839,1.194,1.097,1.033,1.065,1.227,0.355,1.033,1.388,0.96,0.936
"m239.007 ((U)H+) ",0.871,1.13,0.968,1.065,1.323,1.549,1.388,0.774,1.452,1.42,1.42,1.808,1.065,1.033,1.42,0.807,0.871,1.129,0.88,1.194
"m239.179 ((C18H22)H+) ",0.871,1.194,0.968,1.13,1.291,1.453,1.42,0.742,1.517,1.453,1.517,1.905,1.13,1.13,1.388,0.807,0.904,1.065,0.84,1.162
"m150.000 (TIC) ",511.37,565.415,739.05,682.864,752.482,750.242,791.464,586.922,910.11,861.946,996.038,990.864,969.266,982.403,1111.362,494.095,605.339,725.534,847.349,940.304
